dist_metric,pca_components,mean_auroc,std_auroc,auroc_basophil,auroc_eosinophil,auroc_erythroblast,auroc_ig,auroc_lymphocyte,auroc_monocyte,auroc_neutrophil,auroc_platelet
mahalanobis_per_class_cov,100,0.9604424354605952,0.031893443579800715,0.9726250302580156,0.9671946442434618,0.9927235884682694,0.9356982655866111,0.9807002546556616,0.8862667070051102,0.974406819610308,0.9739241738573247
mahalanobis_per_class_cov,0.95,0.9579655214823308,0.03343867595086468,0.9661396427243869,0.9454536437708014,0.996725379704103,0.9209511299228879,0.9824735765357148,0.8933186956704069,0.9704829829829831,0.9881791205473628
mahalanobis_per_class_cov,50,0.9388079879729307,0.05485712063846875,0.9629714302265678,0.9422783394191421,0.9788038936975108,0.9212217924704241,0.9735097940761089,0.8011032164916337,0.9648428952208021,0.9657325421812569
cosine,None,0.9216651364866243,0.047965066092641534,0.9392981105895124,0.9684090508342579,0.9618742810232171,0.8388281560404454,0.9540668827297537,0.8969800085070183,0.9585907128058292,0.8552738893629606
cosine,0.95,0.9174375709746033,0.04976926120800202,0.937508836030176,0.9668704555417593,0.9549635294316146,0.8347789210797313,0.9508228241188375,0.8942101353334811,0.9570873198780175,0.8432585463832094
mahalanobis_global_cov,None,0.9152679195562874,0.06134972536551579,0.9019636848642336,0.8990444545670504,0.9953930166696124,0.8040748578981083,0.9547903205950173,0.8486475638176143,0.9363024361570873,0.9819270218815751
mahalanobis_global_cov,0.95,0.9120716150528052,0.0606225433202353,0.9002026856014602,0.8779138717253574,0.9938288661692917,0.8168329725039934,0.9520795034698736,0.8383558689439914,0.9367795120702097,0.9805796399382645
cosine,100,0.9043575699266958,0.05728453011499421,0.9327258282420557,0.9616111902960127,0.9374516821325332,0.820945129614764,0.9401555737221915,0.8855365711923604,0.9527632283446237,0.8036713558690248
euclidean,None,0.8929773683448325,0.07112709407467804,0.9135855213930204,0.8523997004851502,0.9824873229128548,0.7798428567953489,0.9298168443446663,0.7922445348398344,0.934295487347813,0.9591466786399722
mahalanobis_global_cov,100,0.8916657780548447,0.06459584226484875,0.8960793197929146,0.8416365743631942,0.9720679507913551,0.8436301864149781,0.9448129643385247,0.7671194756801122,0.924835882394022,0.9431438706636559
cosine,50,0.8908820564108494,0.06539205407629857,0.9268969793017932,0.9567945849772365,0.9222153903004966,0.8046032093539939,0.9301221959866488,0.8754518604609367,0.9445310135717113,0.7664412173339783
euclidean,0.95,0.8750943157984858,0.07388055463571325,0.9045274266928455,0.8254520886446403,0.964056900227113,0.767678772693733,0.9152180618781443,0.76155756315862,0.9239669902460601,0.9382967228467305
mahalanobis_per_class_cov,None,0.864863788081784,0.08824989097839944,0.8707908600448679,0.7462297374408255,0.9750773155028475,0.7686021714628588,0.9617141604316836,0.7738394210434877,0.8623460669972297,0.9603105717304712
mahalanobis_global_cov,50,0.8557569843846664,0.10145272102634595,0.892226983046546,0.824192375228677,0.9251755209202019,0.8183567264264922,0.9336377167028386,0.6127611265209292,0.9045520811509185,0.9351533450807274
euclidean,100,0.7961865464150111,0.07137196892706564,0.8663495695603329,0.7375669500180002,0.8301050428710003,0.7271376097691503,0.8488779105233235,0.6675211627057112,0.8790349942966221,0.8128991315759478
euclidean,50,0.7195390508387722,0.07822879828603313,0.8226400989221594,0.6898006989496164,0.718515144047059,0.6793931580270338,0.7936957162242353,0.5774435211866692,0.8063387515422399,0.6684853178111648
